상병코드,상병명,상병명(영문)
H198      ,다운증후군에서의 원추각막(Q90.-+),Keratoconus in Down’s syndrome(Q90.-+)
H198      ,달리 분류된 질환에서의 공막 및 각막의 기타 장애,Other disorders of sclera and cornea in diseases classified elsewhere
H20       ,홍채섬모체염,Iridocyclitis
H200      ,급성 및 아급성 홍채섬모체염,Acute and subacute iridocyclitis
H200      ,급성/ 재발성 또는 아급성 섬모체염,Acute/ recurrent or subacute cyclitis
H200      ,급성/ 재발성 또는 아급성 전방포도막염,Acute/ recurrent or subacute anterior uveitis
H200      ,급성/ 재발성 또는 아급성 홍채염,Acute/ recurrent or subacute iritis
H2000     ,원발성 홍채섬모체염,Primary iridocyclitis
H2001     ,재발성 급성 홍채섬모체염,Recurret acute iridocyclitis
H2002     ,이차성 감염성 홍채섬모체염,Secondary infectious iridocyclitis
H2003     ,이차성 비감염성 홍채섬모체염,Secondary noninfectious iridocyclitis
H2004     ,전방축농,Hypopyon
H2005     ,전방막,Anterior chamber membrane
H2008     ,기타 및 상세불명의 급성 및 아급성 홍채섬모체염,Other and unspecified acute and subacute iridocyclitis
H2009     ,상세불명의 급성 및 아급성 홍채섬모체염,Unspecified acute and subacute iridocyclitis
H201      ,만성 홍채섬모체염,Chronic iridocyclitis
H202      ,수정체유발 홍채섬모체염,Lens-induced iridocyclitis
H208      ,기타 홍채섬모체염,Other iridocyclitis
H208      ,기타 홍채섬모체염,Other iridocyclitis
H2080     ,포그트-고야나기 증후군,Vogt-Koyanagi syndrome
H2088     ,기타 홍채섬모체염,Other iridocyclitis
H209      ,상세불명의 홍채섬모체염,Iridocyclitis/ unspecified
H21       ,홍채 및 섬모체의 기타 장애,Other disorders of iris and ciliary body
H210      ,전방출혈,Hyphaema
H211      ,홍채 또는 섬모체의 혈관신생,Neovascularization of iris or ciliary body
H211      ,홍채 및 섬모체의 기타 혈관장애,Other vascular disorders of iris and ciliary body
H211      ,홍채의 홍조,Rubeosis of iris
H212      ,동공가장자리의 변성,Degeneration of pupillary margin
H212      ,축동성 동공낭,Miotic pupillary cyst
H212      ,홍채 및 섬모체의 변성,Degeneration of iris and ciliary body
H212      ,홍채분리,Iridoschisis
H212      ,홍채위축(본태성)(진행성),Iris atrophy (essential)(progressive)
H212      ,홍채의 변성(색소성),Degeneration of iris (pigmentary)
H212      ,홍채의 투명성,Translucency of iris
H213      ,기생충성 홍채/ 섬모체 또는 전방의 낭,Parasitic cyst of iris/ ciliary body or anterior chamber
H213      ,삼출성 홍채/ 섬모체 또는 전방의 낭,Exudative cyst of iris/ ciliary body or anterior chamber
H213      ,이식 홍채/ 섬모체 또는 전방의 낭,Implantation cyst of iris/ ciliary body or anterior chamber
H213      ,홍채/ 섬모체 또는 전방의 낭 NOS,Cyst of iris/ ciliary body or anterior chamber NOS
H213      ,홍채/ 섬모체 및 전방의 낭,Cyst of iris/ ciliary body and anterior chamber
H214      ,동공막,Pupillary membranes
H214      ,동공차단,Pupillary seclusion
H214      ,동공폐쇄,Pupillary occlusion
H214      ,홍채봄베,Iris bomb?
H215      ,(눈)방각후퇴,Recession/ chamber angle
H215      ,우각유착,Goniosynechiae
H215      ,유착(홍채) NOS,Synechiae(iris) NOS
H215      ,전유착(홍채),Anterior synechiae(iris)
H215      ,홍채 및 섬모체의 기타 유착 및 파열,Other adhesions and disruptions of iris and ciliary body
H215      ,홍채해리,Iridodialysis
H215      ,후유착(홍채),Posterior synechiae(iris)
H218      ,홍채 및 섬모체의 기타 명시된 장애,Other specified disorders of iris and ciliary body
H219      ,홍채 및 섬모체의 상세불명 장애,Disorder of iris and ciliary body/ unspecified
H22       ,달리 분류된 질환에서의 홍채 및 섬모체의 장애,Disorders of iris and ciliary body in diseases classified elsewhere
H220      ,결핵에서의 홍채섬모체염(A18.5+),Iridocyclitis in tuberculosis(A18.5+)
H220      ,달리 분류된 감염성 및 기생충성 질환에서의 홍채섬모체염,Iridocyclitis in infectious and parasitic diseases classified elsewhere
H220      ,대상포진에서의 홍채섬모체염(B02.3+),Iridocyclitis in zoster(B02.3+)
H220      ,매독(이차의)에서의 홍채섬모체염(A51.4+),Iridocyclitis in syphilis(secondary)(A51.4+)
H220      ,임균감염에서의 홍채섬모체염(A54.3+),Iridocyclitis in gonococcal infection(A54.3+)
H220      ,헤르페스바이러스[단순헤르페스] 감염에서의 홍채섬모체염(B00.50+),Iridocyclitis in herpesviral [herpes simplex] infection(B00.50+)
H221      ,강직척추염에서의 홍채섬모체염(M45+),Iridocyclitis in ankylosing spondylitis(M45+)
H221      ,달리 분류된 기타 질환에서의 홍채섬모체염,Iridocyclitis in other diseases classified elsewhere
H221      ,사르코이드증에서의 홍채섬모체염(D86.8+),Iridocyclitis in sarcoidosis(D86.8+)
H228      ,달리 분류된 질환에서의 홍채 및 섬모체의 기타 장애,Other disorders of iris and ciliary body in diseases classified elsewhere
H25       ,노년백내장,Senile cataract
H250      ,관상동맥의 노년백내장,Coronary senile cataract
H250      ,노년성 초기백내장,Senile incipient cataract
H250      ,물틈새,Water clefts
H250      ,수정체피막하 극성 노년백내장(전)(후),Subcapsular polar senile cataract (anterior)(posterior)
H250      ,점상 노년백내장,Punctate senile cataract
H250      ,피질 노년백내장,Cortical senile cataract
H2500     ,관상동맥의 노년백내장/ 오른쪽,Coronary senile cataract/ right
H2500     ,노년성 초기백내장/ 오른쪽,Senile incipient cataract/ right
H2500     ,물틈새/ 오른쪽,Water clefts/ right
H2500     ,수정체피막하 극성 노년백내장(전)(후)/ 오른쪽,Subcapsular polar senile cataract (anterior/ posterior)/ right
H2500     ,점상 노년백내장/ 오른쪽,Punctate senile cataract/ right
H2500     ,피질 노년백내장/ 오른쪽,Cortical senile cataract/ right
H2501     ,관상동맥의 노년백내장/ 왼쪽,Coronary senile cataract/ left
H2501     ,노년성 초기백내장/ 왼쪽,Senile incipient cataract/ left
H2501     ,물틈새/ 왼쪽,Water clefts/ left
H2501     ,수정체피막하 극성 노년백내장(전)(후)/ 왼쪽,Subcapsular polar senile cataract (anterior/ posterior)/ left
H2501     ,점상 노년백내장/ 왼쪽,Punctate senile cataract/ left
H2501     ,피질 노년백내장/ 왼쪽,Cortical senile cataract/ left
H2502     ,관상동맥의 노년백내장/ 양쪽,Coronary senile cataract/ bilateral
H2502     ,노년성 초기백내장/ 양쪽,Senile incipient cataract/ bilateral
H2502     ,물틈새/ 양쪽,Water clefts/ bilateral
H2502     ,수정체피막하 극성 노년백내장(전)(후)/ 양쪽,Subcapsular polar senile cataract (anterior/ posterior)/ bilateral
H2502     ,점상 노년백내장/ 양쪽,Punctate senile cataract/ bilateral
H2502     ,피질 노년백내장/ 양쪽,Cortical senile cataract/ bilateral
H2509     ,관상동맥의 노년백내장/ 상세불명의 부위,Coronary senile cataract/ unspecified side
H2509     ,노년성 초기백내장/ 상세불명의 부위,Senile incipient cataract/ unspecified side
H2509     ,물틈새/ 상세불명의 부위,Water clefts/ unspecified side
H2509     ,수정체피막하 극성 노년백내장(전)(후)/ 상세불명의 부위,Subcapsular polar senile cataract (anterior/ posterior)/ unspecified side
H2509     ,점상 노년백내장/ 상세불명의 부위,Punctate senile cataract/ unspecified side
H2509     ,피질 노년백내장/ 상세불명의 부위,Cortical senile cataract/ unspecified side
H251      ,갈색백내장,Cataracta brunescens
H251      ,노년성 핵백내장,Senile nuclear cataract
H251      ,핵경화백내장,Nuclear sclerosis cataract
H2510     ,갈색백내장/ 오른쪽,Cataracta brunescens/ right
H2510     ,노년성 핵백내장/ 오른쪽,Senile nuclear cataract/ right
H2510     ,핵경화백내장/ 오른쪽,Nuclear sclerosis cataract/ right
H2511     ,갈색백내장/ 왼쪽,Cataracta brunescens/ left
H2511     ,노년성 핵백내장/ 왼쪽,Senile nuclear cataract/ left
H2511     ,핵경화백내장/ 왼쪽,Nuclear sclerosis cataract/ left
H2512     ,갈색백내장/ 양쪽,Cataracta brunescens/ bilateral
H2512     ,노년성 핵백내장/ 양쪽,Senile nuclear cataract/ bilateral
H2512     ,핵경화백내장/ 양쪽,Nuclear sclerosis cataract/ bilateral
H2519     ,갈색백내장/ 상세불명 쪽,Cataracta brunescens/ unspecified side
H2519     ,노년성 핵백내장/ 상세불명 쪽,Senile nuclear cataract/ unspecified side
H2519     ,핵경화백내장/ 상세불명 쪽,Nuclear sclerosis cataract/ unspecified side
H252      ,노년성 과숙백내장,Senile hypermature cataract
H252      ,모르가니형 노년백내장,Senile cataract/ morgagnian type
H2520     ,노년성 과숙백내장/ 오른쪽,Senile hypermature cataract/ right
H2520     ,모르가니형 노년백내장/ 오른쪽,Senile cataract/ morgagnian type/ right
H2521     ,노년성 과숙백내장/ 왼쪽,Senile hypermature cataract/ left
H2521     ,모르가니형 노년백내장/ 왼쪽,Senile cataract/ morgagnian type/ left
H2522     ,노년성 과숙백내장/ 양쪽,Senile hypermature cataract/ bilateral
H2522     ,모르가니형 노년백내장/ 양쪽,Senile cataract/ morgagnian type/ bilateral
H2529     ,노년성 과숙백내장/ 상세불명 쪽,Senile hypermature cataract/ unspecified side
H2529     ,모르가니형 노년백내장/ 상세불명 쪽,Senile cataract/ morgagnian type/ unspecified side
H258      ,기타 노년백내장,Other senile cataract
H258      ,노년백내장의 복합형,Combined forms of senile cataract
H2580     ,기타 노년백내장/ 오른쪽,Other senile cataract/ right
H2580     ,노년백내장의 복합형/ 오른쪽,Combined forms of senile cataract/ right
H2581     ,기타 노년백내장/ 왼쪽,Other senile cataract/ left
H2581     ,노년백내장의 복합형/ 왼쪽,Combined forms of senile cataract/ left
H2582     ,기타 노년백내장/ 양쪽,Other senile cataract/ bilateral
H2582     ,노년백내장의 복합형/ 양쪽,Combined forms of senile cataract/ bilateral
H2589     ,기타 노년백내장/ 상세불명 쪽,Other senile cataract/ unspecified side
H2589     ,노년백내장의 복합형/ 상세불명 쪽,Combined forms of senile cataract/ unspecified side
H259      ,상세불명의 노년백내장,Senile cataract/ unspecified
H2590     ,상세불명의 노년백내장/ 오른쪽,Senile cataract/ unspecified/ right
H2591     ,상세불명의 노년성내장/ 왼쪽,Senile cataract/ unspecified/ left
H2592     ,상세불명의 노년백내장/ 양쪽,Senile cataract/ unspecified/ bilateral
H2599     ,상세불명의 노년백내장/ 상세불명 쪽,Senile cataract/ unspecified/ unspecified side
H26       ,기타 백내장,Other cataract
H260      ,영아/ 연소 및 초로 백내장,Infantile/ juvenile and presenile cataract
H2600     ,영아백내장,Infantile cataract
H26000    ,영아백내장/ 오른쪽,Infantile cataract/ right
H26001    ,영아백내장/ 왼쪽,Infantile cataract/ left
H26002    ,영아백내장/ 양쪽,Infantile cataract/ bilateral
H26009    ,영아백내장/ 상세불명 쪽,Infantile cataract/ unspecified side
H2601     ,연소백내장,Juvenile cataract
H26010    ,연소백내장/ 오른쪽,Juvenile cataract/ right
H26011    ,연소백내장/ 왼쪽,Juvenile cataract/ left
H26012    ,연소백내장/ 양쪽,Juvenile cataract/ bilateral
H26019    ,연소백내장/ 상세불명 쪽,Juvenile cataract/ unspecified side
H2602     ,초로백내장,Presenile cataract
H26020    ,초로백내장/ 오른쪽,Presenile cataract/ right
H26021    ,초로백내장/ 왼쪽,Presenile cataract/ left
H26022    ,초로백내장/ 양쪽,Presenile cataract/ bilateral
H26029    ,초로백내장/ 상세불명 쪽,Presenile cataract/ unspecified side
H2609     ,영아  연소 및 초로 백내장  상세불명 부위,Infantile  juvenile and presenile cataract  Unspecified side
H261      ,외상성 백내장,Traumatic cataract
H2610     ,외상성 백내장/ 오른쪽,Traumatic cataract/ right
H2611     ,외상성 백내장/ 왼쪽,Traumatic cataract/ left
H2612     ,외상성 백내장/ 양쪽,Traumatic cataract/ bilateral
H2619     ,외상성 백내장/ 상세불명 쪽,Traumatic cataract/ unspecified side
H262      ,합병백내장,Complicated cataract
H2620     ,안구내수술에 따른 이차성 백내장,Cataract secondary to intraocular surgery
H26200    ,안구내수술에 따른 이차성 백내장/ 오른쪽,Cataract secondary to intraocular surgery/ right
H26201    ,안구내수술에 따른 이차성 백내장/ 왼쪽,Cataract secondary to intraocular surgery/ left
H26202    ,안구내수술에 따른 이차성 백내장/ 양쪽,Cataract secondary to intraocular surgery/ bilateral
H26209    ,안구내수술에 따른 이차성 백내장/ 상세불명 쪽,Cataract secondary to intraocular surgery/ unspecified side
H2621     ,기타 안구염증에 따른 이차성 백내장,Cataract secondary to other ocular inflammation
H2621     ,만성 홍채섬모체염에서의 백내장,Cataract in chronic iridocyclitis
H26210    ,기타 안구염증에 따른 이차성 백내장/ 오른쪽,Cataract secondary to other ocular inflammation/ right
H26210    ,만성 홍채섬모체염에서의 백내장/ 오른쪽,Cataract in chronic iridocyclitis/ right
H26211    ,기타 안구염증에 따른 이차성 백내장/ 왼쪽,Cataract secondary to other ocular inflammation/ left
H26211    ,만성 홍채섬모체염에서의 백내장/ 왼쪽,Cataract in chronic iridocyclitis/ left
H26212    ,기타 안구염증에 따른 이차성 백내장/ 양쪽,Cataract secondary to other ocular inflammation/ bilateral
H26212    ,만성 홍채섬모체염에서의 백내장/ 양쪽,Cataract in chronic iridocyclitis/ bilateral
H26219    ,기타 안구염증에 따른 이차성 백내장/ 상세불명 쪽,Cataract secondary to other ocular inflammation/ unspecified side
H26219    ,만성 홍채섬모체염에서의 백내장/ 상세불명 쪽,Cataract in chronic iridocyclitis/ unspecified side
H2628     ,기타 합병백내장,Other complicated cataract
H2628     ,녹내장성 수정체혼탁(피막하),Glaucomatous flecks (subcapsular)
H2628     ,눈장애에 따른 이차성 백내장,Cataract secondary to ocular disorders
H26280    ,기타 합병백내장/ 오른쪽,Other complicated cataract/ right
H26280    ,녹내장성 수정체혼탁(피막하)/ 오른쪽,Glaucomatous flecks (subcapsular)/ right
H26280    ,눈장애에 따른 이차성 백내장/ 오른쪽,Cataract secondary to ocular disorders/ right
H26281    ,기타 합병백내장/ 왼쪽,Other complicated cataract/ left
H26281    ,녹내장성 수정체혼탁(피막하)/ 왼쪽,Glaucomatous flecks (subcapsular)/ left
H26281    ,눈장애에 따른 이차성 백내장/ 왼쪽,Cataract secondary to ocular disorders/ left
H26282    ,기타 합병백내장/ 양쪽,Other complicated cataract/ bilateral
H26282    ,녹내장성 수정체혼탁(피막하)/ 양쪽,Glaucomatous flecks (subcapsular)/ bilateral
H26282    ,눈장애에 따른 이차성 백내장/ 양쪽,Cataract secondary to ocular disorders/ bilateral
H26289    ,기타 합병백내장/ 상세불명 쪽,Other complicated cataract/ unspecified side
H26289    ,녹내장성 수정체혼탁(피막하)/ 상세불명 쪽,Glaucomatous flecks (subcapsular)/ unspecified side
H26289    ,눈장애에 따른 이차성 백내장/ 상세불명 쪽,Cataract secondary to ocular disorders/ unspecified side
H263      ,약물유발 백내장,Drug-induced cataract
H2630     ,약물유발 백내장/ 오른쪽,Drug-induced cataract/ right
H2631     ,약물유발 백내장/ 왼쪽,Drug-induced cataract/ left
H2632     ,약물유발 백내장/ 양쪽,Drug-induced cataract/ bilateral
H2639     ,약물유발 백내장/ 상세불명 쪽,Drug-induced cataract/ unspecified side
H264      ,쇰메링고리,Soemmerring’s ring
H264      ,이차성 백내장,Secondary cataract
H264      ,후발백내장,After-cataract
H2640     ,쇰메링고리/ 오른쪽,Soemmerring’s ring/ right
H2640     ,이차성 백내장/ 오른쪽,Secondary cataract/ right
H2640     ,후발백내장/ 오른쪽,After-cataract/ right
H2641     ,쇰메링고리/ 왼쪽,Soemmerring’s ring/ left
H2641     ,이차성 백내장/ 왼쪽,Secondary cataract/ left
H2641     ,후발백내장/ 왼쪽,After-cataract/ left
H2642     ,쇰메링고리/ 양쪽,Soemmerring’s ring/ bilateral
H2642     ,이차성 백내장/ 양쪽,Secondary cataract/ bilateral
H2642     ,후발백내장/ 양쪽,After-cataract/ bilateral
H2649     ,쇰메링고리/ 상세불명 쪽,Soemmerring’s ring/ unspecified side
H2649     ,이차성 백내장/ 상세불명 쪽,Secondary cataract/ unspecified side
H2649     ,후발백내장/ 상세불명 쪽,After-cataract/ unspecified side
H268      ,기타 명시된 백내장,Other specified cataract
H2680     ,기타 명시된 백내장/ 오른쪽,Other specified cataract/ right
H2681     ,기타 명시된 백내장/ 왼쪽,Other specified cataract/ left
H2682     ,기타 명시된 백내장/ 양쪽,Other specified cataract/ bilateral
H2689     ,기타 명시된 백내장/ 상세불명 쪽,Other specified cataract/ unspecified side
H269      ,상세불명의 백내장,Cataract/ unspecified
H2690     ,상세불명의 백내장/ 오른쪽,Cataract/ unspecified/ right
H2691     ,상세불명의 백내장/ 왼쪽,Cataract/ unspecified/ left
H2692     ,상세불명의 백내장/ 양쪽,Cataract/ unspecified/ bilateral
H2699     ,상세불명의 백내장/ 상세불명 쪽,Cataract/ unspecified/ unspecified side
H27       ,수정체의 기타 장애,Other disorders of lens
H270      ,무수정체,Aphakia
H271      ,수정체의 탈구,Dislocation of lens
H278      ,수정체의 기타 명시된 장애,Other specified disorders of lens
H279      ,수정체의 상세불명 장애,Disorder of lens/ unspecified
H28       ,달리 분류된 질환에서의 백내장 및 수정체의 기타 장애,Cataract and other disorders of lens in diseases classified elsewhere
H280      ,당뇨병성 백내장( 4단위 및 5단위 숫자 .34에 해당되는 E10-E14+),Diabetic cataract
H281      ,기타 내분비/ 영양 및 대사 질환에서의 백내장,Cataract in other endocrine/ nutritional and metabolic diseases
H281      ,부갑상선기능저하증에서의 백내장(E20.-+),Cataract in hypoparathyroidism(E20.-+)
H281      ,영양실조-탈수백내장(E40-E46+),Malnutrition-dehydration cataract(E40-E46+)
H282      ,근긴장성 백내장(G71.1+),Myotonic cataract(G71.1+)
H282      ,달리 분류된 기타 질환에서의 백내장,Cataract in other diseases classified elsewhere
H288      ,달리 분류된 질환에서의 수정체의 기타 장애,Other disorders of lens in diseases classified elsewhere
H30       ,맥락망막염증,Chorioretinal inflammation
H300      ,초점성 망막맥락막염,Focal retinochoroiditis
H300      ,초점성 망막염,Focal retinitis
H300      ,초점성 맥락막염,Focal choroiditis
H300      ,초점성 맥락망막염,Focal chorioretinitis
H300      ,초점성 맥락망막염증,Focal chorioretinal inflammation
H301      ,파종성 망막맥락막염,Disseminated retinochoroiditis
H301      ,파종성 망막염,Disseminated retinitis
H301      ,파종성 맥락막염,Disseminated choroiditis
H301      ,파종성 맥락망막염,Disseminated chorioretinitis
H301      ,파종성 맥락망막염증,Disseminated chorioretinal inflammation
H302      ,평면부염,Pars planitis
H302      ,후섬모체염,Posterior cyclitis
H308      ,기타 맥락망막염증,Other chorioretinal inflammations
H308      ,하라다병,Harada’s disease
H309      ,망막맥락막염 NOS,Retinochoroiditis NOS
H309      ,망막염 NOS,Retinitis NOS
H309      ,맥락막염 NOS,Choroiditis NOS
H309      ,맥락망막염 NOS,Chorioretinitis NOS
H309      ,상세불명의 맥락망막염증,Chorioretinal inflammation/ unspecified
H31       ,맥락막의 기타 장애,Other disorders of choroid
H310      ,맥락망막흉터,Chorioretinal scars
H310      ,일광망막병증,Solar retinopathy
H310      ,후극부의 황반흉터(염증후/ 외상후),Macula scars of posterior pole(postinfla- mmatory/ post-traumatic)
H311      ,맥락막변성,Choroidal degeneration
H311      ,맥락막의 경화증,Sclerosis of choroid
H311      ,맥락막의 위축,Atrophy of choroid
H312      ,맥락막결손,Choroideremia
H312      ,맥락막디스트로피(중심성 유륜의)(전반적)(유두주위),Dystrophy/ choroidal (central areolar)(generalized)(peripapillary)
H312      ,맥락막의 이랑위축,Gyrate atrophy/ choroid
H312      ,유전성 맥락막디스트로피,Hereditary choroidal dystrophy
H313      ,맥락막 출혈 및 파열,Choroidal haemorrhage and rupture
H313      ,맥락막출혈 NOS,Choroidal haemorrhage NOS
H313      ,압출성 맥락막출혈,Expulsive choroidal haemorrhage
H314      ,맥락막박리,Choroidal detachment
H318      ,맥락막의 기타 명시된 장애,Other specified disorders of choroid
H318      ,맥락막혈관신생,Choroidal neovascularization
H319      ,맥락막의 상세불명 장애,Disorder of choroid/ unspecified
H32       ,달리 분류된 질환에서의 맥락망막장애,Chorioretinal disorders in diseases classified elsewhere
H320      ,결핵성 맥락망막염(A18.5+),Chorioretinitis tuberculous(A18.5+)
H320      ,달리 분류된 감염성 및 기생충성 질환에서의 맥락망막염증,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere
H320      ,만기매독성 맥락망막염(A52.7+),Chorioretinitis syphilitic/ late(A52.7+)
H320      ,톡소포자충 맥락망막염(B58.0+),Chorioretinitis toxoplasma(B58.0+)
H328      ,달리 분류된 질환에서의 기타 맥락망막장애,Other chorioretinal disorders in diseases classified elsewhere
H328      ,신장성 망막염(N18.5+),Renal retinitis(N18.5+)
H328      ,알부민뇨성 망막염(N18.5+),Albuminurica retinitis(N18.5+)
H33       ,망막박리 및 망막열공,Retinal detachments and breaks
H330      ,망막열공이 있는 망막박리,Retinal detachment with retinal break
H3300     ,단일열공이 있는 망막박리,Retinal detachment with single break
H3301     ,다발열공이 있는 망막박리,Retinal detachment with multiple breaks
H3302     ,거대찢김이 있는 망막박리,Retinal detachment with giant retinal tear
H3303     ,망막열개가 있는 망막박리,Retinal detachment with retinal dialysis
H3304     ,전체 망막박리,Total retinal detachment
H3309     ,상세불명의 망막열공이 있는 망막박리,Unspecified retinal detachment with retinal break
H331      ,망막분리 및 망막낭,Retinoschisis and retinal cysts
H331      ,망막분리 및 망막낭,Retinoschisis and retinal cysts
H3310     ,거상연의 낭,Cyst of ora serrata
H3311     ,망막의 기생충성 낭 NOS,Parasitic cyst of retina NOS
H3318     ,기타 망막분리 및 망막낭,Other retinoschisis and retinal cysts
H3318     ,망막의 가성낭,Pseudocyst of retina
H3319     ,상세불명의 망막분리,Unspecified retinoschisis
H332      ,망막박리 NOS,Retinal detachment NOS
H332      ,망막열공이 없는 망막박리,Retinal detachment without retinal break
H332      ,장액성 망막박리,Serous retinal detachment
H333      ,망막박리가 없는 망막열공,Retinal breaks without detachment
H3330     ,덮개,Operculum
H3330     ,망막의 말굽형찢김,Horseshoe tear of retina
H3331     ,다발성 망막결손,Multiple defects of retina
H3338     ,기타 및 상세불명의 망막열공,Other and unspecified retinal break
H3339     ,둥근 구멍,Round hole
H3339     ,상세불명의 망막열공,Unspecified retinal break
H334      ,망막박리가 있는 증식성 유리체망막병증,Proliferative vitreo-retinopathy with retinal detachment
H334      ,망막의 견인박리,Traction detachment of retina
H335      ,기타 망막박리,Other retinal detachments
H335      ,기타 망막박리,Other retinal detachments
H3350     ,삼출성 망막박리,Exudative retinal detachments
H3358     ,기타 망막박리,Other retinal detachments
H34       ,망막혈관폐쇄,Retinal vascular occlusions
H340      ,일과성 망막동맥폐쇄,Transient retinal artery occlusion
H341      ,중심망막동맥폐쇄,Central retinal artery occlusion
H342      ,기타 망막동맥폐쇄,Other retinal artery occlusions
H342      ,망막미세색전증,Retinal microembolism
H342      ,부분망막동맥폐쇄,Partial retinal artery occlusion
H342      ,분지망막동맥폐쇄,Branch retinal artery occlusion
H342      ,홀렌호스트반,Hollenhorst’s plaque
H348      ,기타 망막혈관폐쇄,Other retinal vascular occlusions
H348      ,부분 망막정맥폐쇄,Partial retinal vein occlusion
H348      ,분지 망막정맥폐쇄,Tributary retinal vein occlusion
H348      ,중심 망막정맥폐쇄,Central retinal vein occlusion
H348      ,초기 망막정맥폐쇄,Incipient retinal vein occlusion
H349      ,상세불명의 망막혈관폐쇄,Retinal vascular occlusion/ unspecified
H35       ,기타 망막장애,Other retinal disorders
H350      ,배경망막병증 및 망막혈관변화,Background retinopathy and retinal vascular changes
H350      ,배경망막병증 및 망막혈관변화,Background retinopathy and retinal vascular changes
H3500     ,망막혈관형태의 변화,Changes in retinal vascular appearance
H3501     ,삼출성 망막병증,Exudative retinopathy
H3501     ,코츠,Coats
H3502     ,고혈압성 망막병증,Hypertensive retinopathy
H3503     ,망막미세동맥류 NOS,Retinal micro-aneurysms NOS
H3504     ,망막혈관신생 NOS,Retinal neovascularization NOS
H3505     ,망막혈관염,Retinal vasculitis
H3505     ,망막혈관주위염,Retinal perivasculitis
H3505     ,일스병,Eales´ disease
H3506     ,망막모세혈관확장증,Retinal telangiectasis
H3508     ,기타 망막내미세혈관이상,Other intraretinal microvascular abnormalities
H3508     ,망막정맥류,Retinal varices
H3508     ,망막혈관집형성,Retinal vascular sheathing
H3509     ,상세불명의 배경망막병증,Unspecified background retinopathy
H351      ,미숙아의 망막병증,Retinopathy of prematurity
H351      ,미숙아의 망막병증,Retinopathy of prematurity
H351      ,수정체후부섬유증식증,Retrolental fibroplasia
H351      ,수정체후부섬유증식증,Retrolental fibroplasia
H3510     ,미숙아 망막병증/ 1단계(흰선),Retinopathy of prematurity/ stage 1
H3511     ,미숙아 망막병증/ 2단계(능선),Retinopathy of prematurity/ stage 2
H3512     ,미숙아 망막병증/ 3단계(흰선과 망막외 섬유혈관증식),Retinopathy of prematurity/ stage 3
H3513     ,미숙아 망막병증/ 4단계(부분 망막박리),Retinopathy of prematurity/ stage 4
H3514     ,미숙아 망막병증/ 5단계(전체 망막박리),Retinopathy of prematurity/ stage 5
H3519     ,상세불명의 미숙아 망막병증,Retinopathy of prematurity/ unspecified
H352      ,기타 증식성 망막병증,Other proliferative retinopathy
H352      ,증식성 유리체-망막병증,Proliferative vitreo-retinopathy
H353      ,황반 및 후극부의 변성,Degeneration of macula and posterior pole
H3530     ,노년성 황반변성(위축성)(비삼출성),Senile macular degeneration (atrophic)(non-exudative)
H3530     ,연령과 관련된 비삼출성 황반변성,Nonexudative age-related macular degeneration
H3531     ,노년성 황반변성(삼출성),Senile macular degeneration (exudative)
H3531     ,연령과 관련된 삼출성 황반변성,Exudative age-related macular degeneration
H3531     ,쿤트-유니우스변성,Kuhnt-Junius degeneration
H3532     ,황반의 혈관모양줄무늬,Angioid streaks of macula
H3533     ,황반의 낭/ 구멍 또는 거짓구멍,Macular cyst/ hole/ or pseudohole
H3534     ,낭성 황반변성,Cystoid macular degeneration
H3535     ,황반의 드루젠(퇴행성),Drusen(degenerative) of macula
H3536     ,황반의 주름,Puckering of macula
H3537     ,독성황반병증,Toxic maculopathy
H3539     ,낭성 황반변성,Cystoid macular degeneration
H3539     ,독성황반병증,Toxic maculopathy
H3539     ,상세불명의 황반변성(연령과 관계된),Unspecified macular degeneration (age-related)
H3539     ,황반의 낭/ 구멍 또는 거짓구멍,Macular cyst/ hole/ or pseudohole
H3539     ,황반의 주름,Puckering of macula
H3539     ,황반의 혈관모양줄무늬,Angioid streaks of macula
H354      ,주변부망막변성,Peripheral retinal degeneration
H354      ,주변부망막변성,Peripheral retinal degeneration
H3540     ,격자형망막변성,Lattice degeneration of retina
H3541     ,미세낭모양망막변성,Microcystoid degeneration of retina
H3542     ,포석형망막변성,Paving stone degeneration of retina
H3543     ,연령과 관련된 망상망막변성,Age-related reticular degeneration of retina
H3544     ,이차성 색소변성,Secondary pigmentary degeneration
H3545     ,이차성 유리체망막변성,Secondary vitreoretinal degeneration
H3549     ,목책형,Palisade
H3549     ,상세불명의 주변부망막변성,Unspecified peripheral retinal degeneration
H355      ,유전성 망막디스트로피,Hereditary retinal dystrophy
H3550     ,유리체망막디스트로피,Vitreoretinal dystrophy
H3551     ,백점상 망막 디스트로피,Albipunctate retinal dystrophy
H3551     ,벽판망막 디스트로피,Tapetoretinal dystrophy
H3551     ,색소망막염,Retinitis pigmentosa
H3551     ,색소성 망막디스트로피,Pigmentary retinal dystrophy
H3552     ,난황형망막디스트로피,Vitelliform retinal dystrophy
H3552     ,망막색소상피를 주로 침범한 디스트로피,Dystrophies primarily involving the retinal pigment epithelium
H3558     ,감각성 망막을 주로 침범한 기타 디스트로피,Other dystrophies primarily involving the sensory retina
H3558     ,스타르가르트병,Stargardt’s disease
H3559     ,상세불명의 유전성 망막디스트로피,Unspecified hereditary retinal dystrophy
