상병코드,상병명,상병명(영문)
A078      ,기타 명시된 원충성 장질환,Other specified protozoal intestinal diseases
A078      ,장편모충증,Intestinal trichomoniasis
A079      ,상세불명의 원충성 장질환,Protozoal intestinal disease/ unspecified
A079      ,원충성 결장염,Protozoal colitis
A079      ,원충성 설사,Protozoal diarrhoea
A079      ,원충성 이질,Protozoal dysentery
A079      ,편모충성 설사,Flagellate diarrhoea
A08       ,바이러스성 및 기타 명시된 장감염,Viral and other specified intestinal infections
A080      ,로타바이러스장염,Rotaviral enteritis
A081      ,노로바이러스장염,Norovirus enteritis
A081      ,노워크병원체에 의한 급성 위장병증,Acute gastroenteropathy due to Norwalk agent
A081      ,소형구형바이러스장염,Small round structured virus enteritis
A082      ,아데노바이러스장염,Adenoviral enteritis
A083      ,기타 바이러스장염,Other viral enteritis
A0830     ,사포바이러스 위장염,Sapoviral gastroenteritis
A0831     ,아스트로바이러스 위장염,Astroviral gastroenteritis
A0838     ,기타 바이러스장염,Other viral enteritis
A084      ,바이러스성 위장병증 NOS,Viral gastroenteropathy NOS
A084      ,바이러스성 위장염 NOS,Viral gastroenteritis NOS
A084      ,바이러스성 장염 NOS,Viral enteritis NOS
A084      ,상세불명의 바이러스성 장감염,Viral intestinal infection/ unspecified
A085      ,기타 명시된 장감염,Other specified intestinal infections
A09       ,감염성 및 상세불명 기원의 기타 위장염 및 결장염,Other gastroenteritis and colitis of infectious and unspecified origin
A090      ,감염성 기원의 기타 및 상세불명의 위장염 및 결장염,Other and unspecified gastroenteritis and colitis of infectious origin
A090      ,감염성 또는 패혈성 출혈성 결장염 NOS,Infectious or septic haemorrhagic colitis NOS
A090      ,감염성 또는 패혈성 출혈성 위장염 NOS,Infectious or septic haemorrhagic gastroenteritis NOS
A090      ,감염성 또는 패혈성 출혈성 장염 NOS,Infectious or septic haemorrhagic enteritis NOS
A090      ,감염성 설사 NOS,Infectious diarrhoea NOS
A090      ,급성 물성 설사,Acute watery diarrhoea
A090      ,급성 출혈성 설사,Acute hemorrhagic diarrhoea
A090      ,급성 혈액성 설사,Acute bloody diarrhoea
A090      ,유행 설사,Epidemic diarrhoea
A090      ,이질성 설사,Dysenteric diarrhoea
A090      ,장성 카타르,Catarrh/ enteric or intestinal
A099      ,상세불명 기원의 위장염 및 결장염,Gastroenteritis and colitis of unspecified origin
A099      ,신생아의 설사 NOS,Neonatal diarrhoea NOS
A099      ,주하(注下),Dysentery
A15       ,세균학적 및 조직학적으로 확인된 호흡기결핵,Respiratory tuberculosis/ bacteriologically and histologically confirmed
A150      ,배양 유무에 관계없이 가래 현미경 검사로 확인된 결핵성 기관지 확장증,Tuberculous bronchiectasis/ confirmed by sputum microscopy with or without culture
A150      ,배양 유무에 관계없이 가래 현미경 검사로 확인된 결핵성 기흉,Tuberculous pneumothorax/ confirmed by sputum microscopy with or without culture
A150      ,배양 유무에 관계없이 가래 현미경 검사로 확인된 결핵성 폐렴,Tuberculous pneumonia/ confirmed by sputum microscopy with or without culture
A150      ,배양 유무에 관계없이 가래 현미경 검사로 확인된 결핵성 폐섬유증,Tuberculous fibrosis of lung/ confirmed by sputum microscopy with or without culture
A150      ,배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵,Tuberculous of lung/ confirmed by sputum microscopy with or without culture
A1500     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 결핵성 기관지 확장증,Tuberculous bronchiectasis with cavitation/ confirmed by sputum microscopy with or without culture
A1500     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 결핵성 기흉,Tuberculous pneumothorax with cavitation/ confirmed by sputum microscopy with or without culture
A1500     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 결핵성 폐렴,Tuberculous pneumonia with cavitation/ confirmed by sputum microscopy with or without culture
A1500     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 결핵성 폐섬유증,Tuberculous fibrosis of lung with cavitation/ confirmed by sputum microscopy with or without culture
A1500     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵,Tuberculous of lung with cavitation/ confirmed by sputum microscopy with or without culture
A1501     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증,Tuberculous bronchiectasis without cavitation or unspecified/ confirmed by sputum microscopy with or without culture
A1501     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 결핵성 기흉,Tuberculous pneumothorax without cavitation or unspecified/ confirmed by sputum microscopy with or without culture
A1501     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 결핵성 폐렴,Tuberculous pneumonia without cavitation or unspecified/ confirmed by sputum microscopy with or without culture
A1501     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증,Tuberculous fibrosis of lung without cavitation or unspecified/ confirmed by sputum microscopy with or without culture
A1501     ,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵,Tuberculous of lung without cavitation or unspecified/ confirmed by sputum microscopy with or without culture
A151      ,배양만으로 확인된 결핵성 기관지 확장증,Tuberculous bronchiectasis/ confirmed by culture only
A151      ,배양만으로 확인된 결핵성 기흉,Tuberculous pneumothorax/ confirmed by culture only
A151      ,배양만으로 확인된 결핵성 폐렴,Tuberculous pneumonia/ confirmed by culture only
A151      ,배양만으로 확인된 결핵성 폐섬유증,Tuberculous fibrosis of lung/ confirmed by culture only
A151      ,배양만으로 확인된 폐결핵,Tuberculosis of lung/ confirmed by culture only
A151      ,A15.0에 열거된 병태/ 배양만으로 확인된 것,Conditions listed in A15.0/ confirmed by culture only
A1510     ,배양만으로 확인된 공동이 있는 결핵성 기관지 확장증,Tuberculous bronchiectasis with cavitation/ confirmed by culture only
A1510     ,배양만으로 확인된 공동이 있는 결핵성 기흉,Tuberculous pneumothorax with cavitation/ confirmed by culture only
A1510     ,배양만으로 확인된 공동이 있는 결핵성 폐렴,Tuberculous pneumonia with cavitation/ confirmed by culture only
A1510     ,배양만으로 확인된 공동이 있는 결핵성 폐섬유증,Tuberculous fibrosis of lung with cavitation/ confirmed by culture only
A1510     ,배양만으로 확인된 공동이 있는 폐결핵,Tuberculosis of lung with cavitation/ confirmed by culture only
A1510     ,A15.0에 열거된 공동이 있는 병태/ 배양만으로 확인된 것,Conditions with cavitation listed in A15.0/ confirmed by culture only
A1511     ,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증,Tuberculous bronchiectasis without cavitation or unspecified/ confirmed by culture only
A1511     ,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 기흉,Tuberculous pneumothorax without cavitation or unspecified/ confirmed by culture only
A1511     ,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴,Tuberculous pneumonia without cavitation or unspecified/ confirmed by culture only
A1511     ,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증,Tuberculous fibrosis of lung without cavitation or unspecified/ confirmed by culture only
A1511     ,배양만으로 확인된 공동이 없거나 상세불명의 폐결핵,Tuberculosis of lung without cavitation or unspecified/ confirmed by culture only
A1511     ,A15.0에 열거된 공동이 없거나 상세불명의 병태/ 배양만으로 확인된 것,Conditions without cavitation or unspecified listed in A15.0/ confirmed by culture only
A152      ,조직학적으로 확인된 결핵성 기관지 확장증,Tuberculous bronchiectasis/ confirmed histologically
A152      ,조직학적으로 확인된 결핵성 기흉,Tuberculous pneumothorax/ confirmed histologically
A152      ,조직학적으로 확인된 결핵성 폐렴,Tuberculous pneumonia/ confirmed histologically
A152      ,조직학적으로 확인된 결핵성 폐섬유증,Tuberculous fibrosis of lung/ confirmed histologically
A152      ,조직학적으로 확인된 폐결핵,Tuberculosis of lung/ confirmed histologically
A152      ,A15.0에 열거된 병태/ 조직학적으로 확인된 것,Conditions listed in A15.0/ confirmed histologically
A1520     ,조직학적으로 확인된 공동이 있는 결핵성 기관지 확장증,Tuberculous bronchiectasis with cavitation/ confirmed histologically
A1520     ,조직학적으로 확인된 공동이 있는 결핵성 기흉,Tuberculous pneumothorax with cavitation/ confirmed histologically
A1520     ,조직학적으로 확인된 공동이 있는 결핵성 폐렴,Tuberculous pneumonia with cavitation/ confirmed histologically
A1520     ,조직학적으로 확인된 공동이 있는 결핵성 폐섬유증,Tuberculous fibrosis of lung with cavitation/ confirmed histologically
A1520     ,조직학적으로 확인된 공동이 있는 폐결핵,Tuberculosis of lung with cavitation/ confirmed histologically without culture
A1520     ,A15.0에 열거된 공동이 있는 병태/ 조직학적으로 확인된 것,Conditions with cavitation listed in A15.0/ confirmed histologically
